1.1.1	vqxXirAxEc
6.1.204	saMjFAyAmupamAnam‌
6.1.205	niRTA ca xvyajanAw‌
6.1.206	SuRkaXqRtO
6.1.207	ASiwaH karwA
6.1.208	rikwe viBARA
6.1.209	juRtArpiwe ca Canxasi
6.1.210	niwyaM manwre
6.1.211	yuRmaxasmaxorfasi
6.1.212	fayi ca
6.1.213	yawoZnAvaH
6.1.214	IdavanxavqSaMsaxuhAM NyawaH
6.1.215	viBARA veNvinXAnayoH
6.1.216	wyAgarAgahAsakuhaSvaTakraWAnAm
6.1.217	upowwamaM riwi
6.1.218	cafyanyawarasyAm
6.1.219	mawoH pUrvamAw‌ saMjFAyAM swriyAm‌
6.1.220	anwoZvawyAH
6.1.221	IvawyAH
6.1.222	cO
6.1.223	samAsasya
6.2.1	bahuvrIhO prakqwyA pUrvapaxam
6.2.2	wawpuruRe wulyArWawqwIyAsapwamyupamAnAvyayaxviwIyAkqwyAH
6.2.3	varNaH varNeRvanewe
6.2.4	gAXalavaNayoH pramANe
6.2.5	xAyAxyaM xAyAxe
6.2.6	prawibanXi cirakqcCrayoH
6.2.7	paxeZpaxeSe
6.2.8	nivAwe vAwawrANe
6.2.9	SAraxeanArwave
6.2.10	aXvaryukaRAyayorjAwO
6.2.11	saxqSaprawirUpayoH sAxqSye
6.2.12	xvigO pramANe
6.2.13	ganwavyapaNyaM vANije
6.2.14	mAwropajFopakramacCAye napuMsake
6.2.15	suKapriyayorhiwe
6.2.16	prIwO ca
6.2.17	svaM svAmini
6.2.18	pawyAvESvarye
6.2.19	na BUvAkcixxiXiRu
6.2.20	vA Buvanam
6.2.21	ASafkAbAXanexIyassu saMBAvane
6.2.22	pUrve BUwapUrve
6.2.23	saviXasanIdasamaryAxasaveSasaxeSeRu sAmIpye
6.2.24	vispaRtAxIni guNavacaneRu
6.2.25	SrajyAZvamakanpApavawsu BAve karmaXAraye
6.2.26	kumAraSca
6.2.27	AxiH prawyenasi
6.2.28	pUgeRvanyawarasyAm
6.2.29	iganwakAlakapAlaBagAlaSarAveRu xvigO
6.2.30	bahvanyawarasyAm
6.2.31	xiRtiviwaswyoSca
6.2.32	sapwamI sixXaSuRkapakvabanXeRvakAlAw‌
6.2.33	pariprawyupApA varjyamAnAhorAwrAvayaveRu
6.2.34	rAjanyabahuvacanaxvaMxveZnXakavqRNiRu
6.2.35	saMKyA
6.2.36	AcAryopasarjanaScAnwevAsI
6.2.37	kArwakOjapAxayaSca
6.2.38	mahAn vrIhyaparAhNagqRtIRvAsajAbAlaBAraBArawahElihilarOravapravqxXeRu
6.2.39	kRullakaSca vESvaxeve
6.2.40	uRtraH sAxivAmyoH
6.2.41	gOH sAxasAxisAraWiRu
6.2.42	kurugArhapawarikwagurvasUwajarawyaSlIlaxqDarUpApArevadavAwEwilakaxrUHpaNyakambalo xAsIBArANAM ca
6.2.43	cawurWI waxarWe
6.2.44	arWe
6.2.45	kwe ca
6.2.46	karmaXArayeZniRTA
6.2.47	ahIne xviwIyA
6.2.48	wqwIyA karmaNi
6.2.49	gawirananwaraH
6.2.50	wAxO ca niwi kqwyawO
6.2.51	wavE cAnwaSca yugapaw‌
6.2.52	aniganwoZFcawO vaprawyaye
6.2.53	nyaXI ca
6.2.54	IRaxanyawarasyAm
6.2.55	hiraNyaparimANaM Xane
6.2.56	praWamoZciropasampawwO
6.2.57	kawarakawamO karmaXAraye
6.2.58	Aryo brAhmaNakumArayoH
6.2.59	rAjA ca
6.2.60	RaRTI prawyenasi
6.2.61	kwe niwyArWe
6.2.62	grAmaH Silpini
6.2.63	rAjA ca praSaMsAyAm
6.2.64	AxiruxAwwaH
6.2.65	sapwamIhAriNO XarmyeZharaNe
6.2.66	yukwe ca
6.2.67	viBARAZXyakRe
6.2.68	pApaM ca Silpini
6.2.69	gowrAnwevAsimANavabrAhmaNeRu kRepe
6.2.70	afgAni mEreye
6.2.71	BakwAKyAswaxarWeRu
6.2.72	gobidAlasiMhasEnXaveRUpamAne
6.2.73	ake jIvikAZrWe
6.2.74	prAcAM krIdAyAm
6.2.75	aNi niyukwe
6.2.76	Silpini cAkqFaH
6.2.77	saMjFAyAM ca
6.2.78	gowanwiyavaM pAle
6.2.79	Nini
6.2.80	upamAnaM SabxArWaprakqwAveva
6.2.81	yukwArohyAxayaSca
6.2.82	xIrGakASawuRaBrARtravataM je
6.2.83	anwyAw‌ pUrvaM bahvacaH
6.2.84	grAmeZnivasanwaH
6.2.85	GoRAxiRu
6.2.86	CAwryAxayaH SAlAyAm
6.2.87	prasWeZvqxXamakarkyAxInAm‌
6.2.88	mAlAZZxInAM ca
6.2.89	amahannavaM nagareZnuxIcAm
6.2.90	arme cAvarNaM xvyacwryac
6.2.91	na BUwAXikasaMjIvamaxrASmakajjalam
6.2.92	anwaH
6.2.93	sarvaM guNakArwsnye
6.2.94	saMjFAyAM girinikAyayoH
6.2.95	kumAryAM vayasi
6.2.96	uxakeZkevale
6.2.97	xvigO krawO
6.2.98	saBAyAM napuMsake
6.2.99	pure prAcAm
6.2.100	ariRtagOdapUrve ca
6.2.101	na hAswinaPalakamArxeyAH
6.2.102	kusUlakUpakumBaSAlaM bile
6.2.103	xik‌SabxA grAmajanapaxAKyAnacAnarAteRu
6.2.104	AcAryopasarjanaScAnwevAsini
6.2.105	uwwarapaxavqxXO sarvaM ca
6.2.106	bahuvrIhO viSvaM saMjFayAm
6.2.107	uxarASveRuRu
6.2.108	kRepe
6.2.109	naxI banXuni
6.2.110	niRTopasargapUrvamanyawarasyAm‌
6.2.111	uwwarapaxAxiH
6.2.112	karNo varNalakRaNAw‌
6.2.113	saMjFOpamyayoSca
6.2.114	kaNTapqRTagrIvAjaMGaM ca
6.2.115	SqfgamavasWAyAM ca
6.2.116	naFo jaramaramiwramqwAH
6.2.117	sormanasI alomoRasI
6.2.118	krawvAxayaSca
6.2.119	AxyuxAwwaM xvyac Canxasi
6.2.120	vIravIryO ca
6.2.121	kUlawIrawUlamUlaSAlAZkRasamamavyayIBAve
6.2.122	kaMsamanWaSUrpapAyyakANdaM xvigO
6.2.123	wawpuruRe SAlAyAM napuMsake
6.2.124	kanWA ca
6.2.125	AxiScihaNAxInAm
6.2.126	celaKetakatukakANdaM garhAyAm
6.2.127	cIramupamAnam‌
6.2.128	palalasUpaSAkaM miSre
6.2.129	kUlasUxasWalakarRAH saMjFAyAm
6.2.130	akarmaXAraye rAjyam
6.2.131	vargyAxayaSca
6.2.132	puwraH puMByaH
6.2.133	nAcAryarAjarwviksaMyukwajFAwyAKyeByaH
6.2.134	cUrNAxInyaprANiRaRTyAH
6.2.135	Rat ca kANdAxIni
6.2.136	kuNdaM vanam
6.2.137	prakqwyA BagAlam
6.2.138	SiwerniwyAbahvajbahuvrIhAvaBasaw‌
6.2.139	gawikArakopapaxAw‌ kqw‌
6.2.140	uBe vanaspawyAxiRu yugapaw‌
6.2.141	xevawAxvaMxve ca
6.2.142	nowwarapaxeZnuxAwwAxAvapqWivIruxrapURamanWiRu
6.2.143	anwaH
6.2.144	WAWaGaFkwAjabiwrakANAm
6.2.145	sUpamAnAw‌ kwaH
6.2.146	saMjFAyAmanAciwAxInAm‌
6.2.147	pravqxXAxInAM ca
6.2.148	kArakAxxawwaSruwayorevASiRi
6.2.149	iwWamBUwena kqwamiwi ca
6.2.150	ano BAvakarmavacanaH
6.2.151	mankwinvyAKyAnaSayanAsanasWAnayAjakAxikrIwAH
6.2.152	sapwamyAH puNyam
6.2.153	UnArWakalahaM wqwIyAyAH
6.2.154	miSraM cAnupasargamasaMXO
6.2.155	naFo guNaprawiReXe sampAxyarhahiwAlamarWAswaxXiwAH
6.2.156	yayawoScAwaxarWe
6.2.157	ackAvaSakwO
6.2.158	AkroSe ca
6.2.159	saMjFAyAm
6.2.160	kqwyokeRNuccArvAxayaSca
6.2.161	viBARA wqnnannawIkRNaSuciRu
6.2.162	bahuvrIhAvixamewawwaxByaH praWamapUraNayoH kriyAgaNane
6.2.163	saMKyAyAH swanaH
6.2.164	viBARA Canxasi
6.2.165	saMjFAyAM miwrAjinayoH
6.2.166	vyavAyinoZnwaram
6.2.167	muKaM svAfgam
6.2.168	nAvyayaxik‌SabxagomahawsWUlamuRtipqWuvawseByaH
6.2.169	niRTopamAnAxanyawarasyAm
6.2.170	jAwikAlasuKAxiByoZnAcCAxanAw‌ kwoZkqwamiwaprawipannAH
6.2.171	vA jAwe
6.2.172	naFsuByAm
6.2.173	kapi pUrvam
6.2.174	hrasvAnweZnwyAw‌ pUrvam
6.2.175	bahornaFvaxuwwarapaxaBUmni
6.2.176	na guNAxayoZvayavAH
6.2.177	upasargAw‌ svAfgaM XruvamaparSu
6.2.178	vanaM samAse
6.2.179	anwaH
6.2.180	anwaSca
6.2.181	na niviByAm
6.2.182	pareraBiwoBAvimaNdalam
6.2.183	prAxasvAfgaM saMjFAyAm
6.2.184	niruxakAxIni ca
6.2.185	aBermuKam
6.2.186	apAcca
6.2.187	sPigapUwavINAZFjoZXvakukRisIranAmanAma ca
6.2.188	aXeruparisWam
6.2.189	anorapraXAnakanIyasI
6.2.190	puruRaScAnvAxiRtaH
6.2.191	awerakqwpaxe
6.2.192	neraniXAne
6.2.193	praweraMSvAxayaswawpuruRe
6.2.194	upAx xvyajajinamagOrAxayaH
6.2.195	soravakRepaNe
6.2.196	viBARowpucCe
6.2.197	xviwriByAM pAxxanmUrXasu bahuvrIhO
6.2.198	sakWaM cAkrAnwAw‌
6.2.199	parAxiSCanxasi bahulam
6.3.1	aluguwwarapaxe
6.3.2	paFcamyAH swokAxiByaH
6.3.3	ojaHsahoZmBaswamasaH wqwIyAyAH
6.3.4	manasaH saMjFAyAm
6.3.5	AjFAyini ca
6.3.6	AwmanaSca pUraNe
6.3.7	vEyAkaraNAKyAyAM cawurWyAH
6.3.8	parasya ca
6.3.9	halaxanwAw‌ sapwamyAH saMjFAyAm
6.3.10	kAranAmni ca prAcAM halAxO
6.3.11	maXyAxgurO
6.3.12	amUrXamaswakAw‌ svAfgAxakAme
6.3.13	banXe ca viBARA
6.3.14	wawpuruRe kqwi bahulam
6.3.15	prAvqtSarawkAlaxivAM je
6.3.16	viBARA varRakRaraSaravarAw‌
6.3.17	GakAlawaneRu kAlanAmnaH
6.3.18	SayavAsavAsiRu akAlAw‌
6.3.19	nensixXabaXnAwiRu
6.3.20	sWe ca BARAyAm
6.3.21	RaRTyA AkroSe
6.3.22	puwreZnyawarasyAm
6.3.23	qwo vixyAyonisambanXeByaH
6.3.24	viBARA svasqpawyoH
6.3.25	Anaf qwo xvaMxve
6.3.26	xevawAxvaMxve ca
6.3.27	IxagneH somavaruNayoH
6.3.28	ixvqxXO
6.3.29	xivo xyAvA
6.3.30	xivasaSca pqWivyAm
6.3.31	uRAsoRasaH
6.3.32	mAwarapiwarAvuxIcAm
6.3.33	piwarAmAwarA ca cCanxasi
6.3.34	swriyAH puMvaxBARiwapuMskAxanUf samAnAXikaraNe swriyAmapUraNIpriyAZZxiRu
6.3.35	wasilAxiRu AkqwvasucaH
6.3.36	kyafmAninoSca
6.3.37	na kopaXAyAH
6.3.38	saMjFApUraNyoSca
6.3.39	vqxXinimiwwasya ca waxXiwasyArakwavikAre
6.3.40	svAfgAccewoZmAnini
6.3.41	jAweSca
6.3.42	puMvaw‌ karmaXArayajAwIyaxeSIyeRu
6.3.43	GarUpakalpaceladbruvagowramawahaweRu fyoZnekAco hrasvaH
6.3.44	naxyAH SeRasyAnyawarasyAm
6.3.45	ugiwaSca
6.3.46	AnmahawaH samAnAXikaraNajAwIyayoH
6.3.47	xvyaRtanaH saMKyAyAmabahuvrIhyaSIwyoH
6.3.48	wreswrayaH
6.3.49	viBARA cawvAriMSawpraBqwO sarveRAm
6.3.50	hqxayasya hqlleKayaxaNlAseRu
6.3.51	vA SokaRyaFrogeRu
6.3.52	pAxasya paxAjyAwigopahaweRu
6.3.53	pax yawyawaxarWe
6.3.54	himakARihawiRu ca
6.3.55	qcaH Se
6.3.56	vA GoRamiSraSabxeRu
6.3.57	uxakasyoxaH saMjFAyAm
6.3.58	peRaMvAsavAhanaXiRu ca
6.3.59	ekahalAxO pUrayiwavyeZnyawarasyAm
6.3.60	manWOxanasakwubinxuvajraBArahAravIvaXagAheRu ca
6.3.61	iko hrasvoZfyo gAlavasya
6.3.62	eka waxXiwe ca
6.3.63	fyApoH saMjFACanxasorbahulam
6.3.64	wve ca
6.3.65	iRtakeRIkAmAlAnAM ciwawUlaBAriRu
6.3.66	Kiwyanavyayasya
6.3.67	arurxviRaxajanwasya mum
6.3.68	ica ekAcoZmprawyayavacca
6.3.69	vAcaMyamapuraMxarO ca
6.3.70	kAre sawyAgaxasya
6.3.71	Syenawilasya pAwe Fe
6.3.72	rAwreH kqwi viBARA
6.3.73	nalopo naFaH
6.3.74	wasmAnnudaci
6.3.75	naBrANnapAnnavexAnAsawyAnamucinakulanaKanapuMsakanakRawranakranAkeRu prakqwyA
6.3.76	ekAxiScEkasya cAxuk
6.3.77	nagoZprANiRvanyawarasyAm
6.3.78	sahasya saH saMjFAyAm
6.3.79	granWAnwAXike ca
6.3.80	xviwIye cAnupAKye
6.3.81	avyayIBAve cAkAle
6.3.82	vopasarjanasya
6.3.83	prakqwyAZZSiRyagovawsahaleRu
6.3.84	samAnasya CanxasyamUrXapraBqwyuxarkeRu
6.3.85	jyowirjanapaxarAwrinABinAmagowrarUpasWAnavarNavayovacanabanXuRu
6.3.86	caraNe brahmacAriNi
6.3.87	wIrWe ye
6.3.88	viBARoxare
6.3.89	xqgxqSavawuRu
6.3.90	ixafkimorISkI
6.3.91	A sarvanAmnaH
6.3.92	viRvagxevayoSca teraxryaFcawO vaprawyaye
6.3.93	samaH sami
6.3.94	wirasaswiryalope
6.3.95	sahasya saXriH
6.3.96	saXa mAxasWayoSCanxasi
6.3.97	xvyanwarupasargeByoZpa Iw‌
6.3.98	UxanorxeSe
6.3.99	aRaRTyawqwIyAsWasyAnyasya xugASirASAZZsWAZZsWiwowsukowikArakarAgacCeRu
6.3.100	arWe viBARA
6.3.101	koH kaw‌ wawpuruReZci
6.3.102	raWavaxayoSca
6.3.103	wqNe ca jAwO
6.3.104	kA paWyakRayoH
6.3.105	IRaxarWe
6.3.106	viBARA puruRe
6.3.107	kavaM coRNe
6.3.108	paWi ca cCanxasi
6.3.109	pqRoxarAxIni yaWopaxiRtam
6.3.110	saMKyAvisAyapUrvasyAhnasyAhannanyawarasyAM fO
6.3.111	Dralope pUrvasya xIrGoZNaH
6.3.112	sahivahoroxavarNasya
6.3.113	sADyE sADvA sADewi nigame
6.3.114	saMhiwAyAm
6.3.115	karNe lakRaNasyAviRtARtapaFcamaNiBinnaCinnaCixrasruvasvaswikasya
6.3.116	nahivqwivqRivyaXirucisahiwaniRu kvO
6.3.117	vanagiryoH saMjFAyAM kotarakiMSulakAxInAm
6.3.118	vale
6.3.119	mawO bahvacoZnajirAxInAm
6.3.120	SarAxInAM ca
6.3.121	ikaH vahe apIloH
6.3.122	upasargasya GaFyamanuRye bahulam
6.3.123	ikaH kASe
6.3.124	xaswi
6.3.125	aRtanaH saMjFAyAm
6.3.126	Canxasi ca
6.3.127	ciweH kapi
6.3.128	viSvasya vasurAtoH
6.3.129	nare saMjFAyAm
6.3.130	miwre carRO
6.3.131	manwre somASvenxriyaviSvaxevyasya mawO
6.3.132	oRaXeSca viBakwAvapraWamAyAm
6.3.133	qci wunuGamakRuwafkuwroruRyANAm
6.3.134	ikaH suFi
6.3.135	xvyacoZwaswifaH
6.3.136	nipAwasya ca
6.3.137	anyeRAmapi xqSyawe
6.3.138	cO
6.3.139	samprasAraNasya
6.4.1	afgasya
6.4.2	halaH
6.4.3	nAmi
6.4.4	na wisqcawasq
6.4.5	CanxasyuBayaWA
6.4.6	nq ca
6.4.7	nopaXAyAH
6.4.8	sarvanAmasWAne cAsambuxXO
6.4.9	vA RapUrvasya nigame
6.4.10	sAnwamahawaH saMyogasya
6.4.11	apwqnwqcsvasqnapwqneRtqwvaRtqkRawwqhowqpowqpraSAswQNAm
6.4.12	inhanpURAryamNAM SO
6.4.13	sO ca
6.4.14	awvasanwasya cAXAwoH
6.4.15	anunAsikasya kviJaloH kfiwi
6.4.16	ajJanagamAM sani
6.4.17	wanowerviBARA
6.4.18	kramaSca kwvi
6.4.19	cCvoH SUdanunAsike ca
6.4.20	jvarawvaraSrivyavimavAmupaXAyASca
6.4.21	rAllopaH
6.4.22	asixXavaxawrABAw‌
6.4.23	SnAnnalopaH
6.4.24	anixiwAM hala upaXAyAH kfiwi
6.4.25	xanSasaFjasvaFjAM Sapi
6.4.26	raFjeSca
6.4.27	GaFi ca BAvakaraNayoH
6.4.28	syaxo jave
6.4.29	avoxEXOxmapraSraWahimaSraWAH
6.4.30	nAFceH pUjAyAm
6.4.31	kwvi skanxisyanxoH
6.4.32	jAnwanaSAM viBARA
6.4.33	BaFjeSca ciNi
6.4.34	SAsa ixafhaloH
6.4.35	SA hO
6.4.36	hanwerjaH
6.4.37	anuxAwwopaxeSavanawiwanowyAxInAmanunAsikalopo Jali kfiwi
6.4.38	vA lyapi
6.4.39	na kwici xIrGaSca
6.4.40	gamaH kvO
6.4.41	vidvanoranunAsikasyAw‌
6.4.42	janasanaKanAM saFJaloH
6.4.43	ye viBARA
6.4.44	wanoweryaki
6.4.45	sanaH kwici lopaScAsyAnyawarasyAm
6.4.46	ArXaXAwuke
6.4.47	Brasjo ropaXayoH ramanyawarasyAm‌
6.4.48	awo lopaH
6.4.49	yasya halaH
6.4.50	kyasya viBARA
6.4.51	Neraniti
6.4.52	niRTAyAM seti
6.4.53	janiwA manwre
6.4.54	SamiwA yajFe
6.4.55	ayAmanwAlvAyyewnviRNuRu
6.4.56	lyapi laGupUrvAw‌
6.4.57	viBARAZZpaH
6.4.58	yupluvorxIrGaSCanxasi
6.4.59	kRiyaH
6.4.60	niRTAyAM aNyaxarWe
6.4.61	vAZZkroSaxEnyayoH
6.4.62	syasicsIyutwAsiRu BAvakarmaNorupaxeSeZjJanagrahaxqSAM vA ciNvaxit ca
6.4.63	xIfo yudaci kfiwi
6.4.64	Awo lopa iti ca
6.4.65	Ixyawi
6.4.66	GumAsWAgApAjahAwisAM hali
6.4.67	erlifi
6.4.68	vAZnyasya saMyogAxeH
6.4.69	na lyapi
6.4.70	mayawerixanyawarasyAm
6.4.71	luflaflqfkRvaduxAwwaH
6.4.72	AdajAxInAm
6.4.73	Canxasyapi xqSyawe
6.4.74	na mAfyoge
6.4.75	bahulaM CanxasyamAfyogeZpi
6.4.76	irayo re
6.4.77	aci SnuXAwuBruvAM yvoriyafuvafO
6.4.78	aByAsasyAsavarNe
6.4.79	swriyAH
6.4.80	vAZmSasoH
6.4.81	iNo yaN
6.4.82	eranekAcoZsaMyogapUrvasya
6.4.83	oH supi
6.4.84	varRABvaSca
6.4.85	na BUsuXiyoH
6.4.86	CanxasyuBayaWA
6.4.87	huSnuvoH sArvaXAwuke
6.4.88	Buvo vugluflitoH
6.4.89	UxupaXAyA gohaH
6.4.90	xoRo NO
6.4.91	vA ciwwavirAge
6.4.92	miwAM hrasvaH
6.4.93	ciNNamulorxIrGoZnyawarasyAm
6.4.94	Kaci hrasvaH
6.4.95	hlAxo niRTAyAm
6.4.96	CAxerGeZxvyupasargasya
6.4.97	ismanwrankviRu ca
6.4.98	gamahanajanaKanaGasAM lopaH kfiwyanafi
6.4.99	wanipawyoSCanxasi
6.4.100	GasiBasorhali ca
6.4.101	huJalByo herXiH
6.4.102	SruSqNupQkqvqByaSCanxasi
6.4.103	afiwaSca
6.4.104	ciNo luk
6.4.105	awo heH
6.4.106	uwaSca prawyayAxasaMyogapUrvAw‌
6.4.107	lopaScAsyAnyawarasyAM mvoH
6.4.108	niwyaM karoweH
6.4.109	ye ca
6.4.110	awa uw‌ sArvaXAwuke
6.4.111	SnasorallopaH
6.4.112	SnAZByaswayorAwaH
6.4.113	I halyaGoH
6.4.114	ixxarixrasya
6.4.115	BiyoZnyawarasyAm
6.4.116	jahAweSca
6.4.117	A ca hO
6.4.118	lopo yi
6.4.119	GvasorexXAvaByAsalopaSca
6.4.120	awa ekahalmaXyeZnAxeSAxerliti
6.4.121	Wali ca seti
6.4.122	wQPalaBajawrapaSca
6.4.123	rAXo hiMsAyAm
6.4.124	vA jQBramuwrasAm
6.4.125	PaNAM ca sapwAnAm
6.4.126	na SasaxaxavAxiguNAnAm
6.4.127	arvaNaswrasAvanaFaH
6.4.128	maGavA bahulam
6.4.129	Basya
6.4.130	pAxaH paw
6.4.131	vasoH samprasAraNam
6.4.132	vAha UT
6.4.133	SvayuvamaGonAmawaxXiwe
6.4.134	allopoZnaH
6.4.135	RapUrvahanXqwarAjFAmaNi
6.4.136	viBARA fiSyoH
6.4.137	na saMyogAxvamanwAw‌
6.4.138	acaH
6.4.139	uxa Iw‌
6.4.140	Awo XAwoH
6.4.141	manwreRvAfyAxerAwmanaH
6.4.142	wi viMSawerdiwi
6.4.143	teH
6.4.144	naswaxXiwe
6.4.145	ahnaRtaKoreva
6.4.146	orguNaH
6.4.147	De lopoZkaxrvAH
6.4.148	yasyewi ca
6.4.149	sUryawiRyAgaswyamawsyAnAM ya upaXAyAH
6.4.150	halaswaxXiwasya
6.4.151	Apawyasya ca waxXiweZnAwi
6.4.152	kyacvyoSca
6.4.153	bilvakAxiByaSCasya luk
6.4.154	wuriRTemeyassu
6.4.155	teH
6.4.156	sWUlaxUrayuvahrasvakRiprakRuxrANAM yaNAxiparaM pUrvasya ca guNaH
6.4.157	priyasWirasPirorubahulaguruvqxXawqpraxIrGavqnxArakANAM prasWasPavarbaMhigarvarRiwrabxrAGivqnxAH
6.4.158	bahorlopo BU ca bahoH
6.4.159	iRTasya yit ca
6.4.160	jyAxAxIyasaH
6.4.161	ra qwo halAxerlaGoH
6.4.162	viBARarjoSCanxasi
6.4.163	prakqwyEkAc
6.4.164	inaNyanapawye
6.4.165	gAWivixaWikeSigaNipaNinaSca
6.4.166	saMyogAxiSca
6.4.167	an
6.4.168	ye cABAvakarmaNoH
6.4.169	AwmAXvAnO Ke
6.4.170	na mapUrvoZpawyeZvarmaNaH
6.4.171	brAhmoajAwO
6.4.172	kArmaswAcCIlye
6.4.173	OkRamanapawye
6.4.174	xANdinAyanahAswinAyanAWarvaNikajEhmASineyavASinAyaniBrONahawyaXEvawyasAravEkRvAkamEwreyahiraNmayAni
6.4.175	qwvyavAswvyavAswvamAXvIhiraNyayAni cCanxasi
7.1.1	yuvoranAkO
7.1.2	AyaneyInIyiyaH PaDaKacCaGAM prawyayAxInAm‌
7.1.3	JoZnwaH
7.1.4	axaByaswAw‌
7.1.5	AwmanepaxeRvanawaH
7.1.6	SIfo rut
7.1.7	vewwerviBARA
7.1.8	bahulaM Canxasi
7.1.9	awo Bisa Es
7.1.10	bahulaM Canxasi
7.1.11	nexamaxasorakoH
7.1.12	tAfasifasAminAwsyAH
7.1.13	feryaH
7.1.14	sarvanAmnaH smE
7.1.15	fasifyoH smAwsminO
7.1.16	pUrvAxiByo navaByo vA
7.1.17	jasaH SI
7.1.18	Ofa ApaH
7.1.19	napuMsakAcca
7.1.20	jaSSasoH SiH
7.1.21	aRtABya OS
7.1.22	RadByo luk
7.1.23	svamornapuMsakAw‌
7.1.24	awoZm
7.1.25	axd dawarAxiByaH paFcaByaH
7.1.26	newarAcCanxasi
7.1.27	yuRmaxasmaxByAM fasoZS
7.1.28	fe praWamayoram
7.1.29	Saso na
7.1.30	Byaso Byam
7.1.31	paFcamyA aw‌
7.1.32	ekavacanasya ca
7.1.33	sAma Akam
7.1.34	Awa O NalaH
7.1.35	wuhyoswAwafASiRyanyawarasyAm
7.1.36	vixeH SawurvasuH
7.1.37	samAseZnaFpUrve kwvo lyap‌
7.1.38	kwvAZpi Canxasi
7.1.39	supAM sulukpUrvasavarNAZZcCeyAdAdyAyAjAlaH
7.1.40	amo maS
7.1.41	lopaswa AwmanepaxeRu
7.1.42	Xvamo XvAw‌
7.1.43	yajaXvEnamiwi ca
7.1.44	wasya wAw‌
7.1.45	wapwanapwanaWanASca
7.1.46	ixanwo masi
7.1.47	kwvo yak
7.1.48	iRtvInamiwi ca
7.1.49	snAwvyAxayaSca
7.1.50	Ajjaserasuk
7.1.51	aSvakRIravqRalavaNAnAmAwmaprIwO kyaci
7.1.52	Ami sarvanAmnaH sut
7.1.53	wreswrayaH
7.1.54	hrasvanaxyApo nut
7.1.55	RatcawurByaSca
7.1.56	SrIgrAmaNyoSCanxasi
7.1.57	goH pAxAnwe
7.1.58	ixiwo num XAwoH
7.1.59	Se mucAxInAm
7.1.60	masjinaSorJali
7.1.61	raXijaBoraci
7.1.62	netyaliti raXeH
7.1.63	raBeraSablitoH
7.1.64	laBeSca
7.1.65	Afo yi
7.1.66	upAw‌ praSaMsAyAm
7.1.67	upasargAw‌ KalGaFoH
7.1.68	na suxurByAM kevalAByAm
7.1.69	viBARA ciNNamuloH
7.1.70	ugixacAM sarvanAmasWAneZXAwoH
7.1.71	yujerasamAse
7.1.72	napuMsakasya JalacaH
7.1.73	ikoZci viBakwO
7.1.74	wqwIyAZZxiRu BARiwapuMskaM puMvaxgAlavasya
7.1.75	asWixaXisakWyakRNAmanafuxAwwaH
7.1.76	Canxasyapi xqSyawe
7.1.77	I ca xvivacane
7.1.78	nAByaswAcCawuH
7.1.79	vA napuMsakasya
7.1.80	AcCInaxyornum
7.1.81	SapSyanorniwyam
7.1.82	sAvanaduhaH
7.1.83	xqksvavassvawavasAM Canxasi
7.1.84	xiva Ow‌
7.1.85	paWimaWyqBukRAmAw‌
7.1.86	iwoZw‌ sarvanAmasWAne
7.1.87	Wo nWaH
7.1.88	Basya terlopaH
7.1.89	puMsoZsuf
7.1.90	gowo Niw‌
7.1.91	Naluwwamo vA
7.1.92	saKyurasambuxXO
7.1.93	anaf sO
7.1.94	qxuSanaspuruxaMsoZnehasAM ca
7.1.95	wqjvaw‌ kroRtuH
7.1.96	swriyAM ca
7.1.97	viBARA wqwIyAZZxiRvaci
7.1.98	cawuranaduhorAmuxAwwaH
7.1.99	am sambuxXO
7.1.100	Qwa ixXAwoH
7.1.101	upaXAyASca
7.1.102	uxoRTyapUrvasya
7.1.103	bahulaM Canxasi
7.2.1	sici vqxXiH parasmEpaxeRu
7.2.2	awo rlAnwasya
7.2.3	vaxavrajahalanwasyAcaH
7.2.4	neti
7.2.5	hmyanwakRaNaSvasajAgqNiSvyexiwAm
7.2.6	UrNowerviBARA
7.2.7	awo halAxerlaGoH
7.2.8	ned vaSi kqwi
7.2.9	wiwuwrawaWasisusarakaseRu ca
7.2.10	ekAca upaxeSeZnuxAwwAw‌
7.2.11	SryukaH kiwi
7.2.12	sani grahaguhoSca
7.2.13	kqsqBqvqswuxrusruSruvo liti
7.2.14	SvIxiwo niRTAyAm
7.2.15	yasya viBARA
7.2.16	AxiwaSca
7.2.17	viBARA BAvAxikarmaNoH
7.2.18	kRubXasvAnwaXvAnwalagnamliRtaviribXaPANtabADAni manWamanaswamaHsakwAvispaRtasvarAnAyAsaBqSeRu
7.2.19	XqRiSasI vEyAwye
7.2.20	xqDaH sWUlabalayoH
7.2.21	praBO parivqDaH
7.2.22	kqcCragahanayoH kaRaH
7.2.23	GuRiraviSabxane
7.2.24	arxeH saMniviByaH
7.2.25	aBeScAvixUrye
7.2.26	NeraXyayane vqwwam
7.2.27	vA xAnwaSAnwapUrNaxaswaspaRtacCannajFapwAH
7.2.28	ruRyamawvarasaMGuRAsvanAm
7.2.29	hqRerlomasu
7.2.30	apaciwaSca
7.2.31	hru hvareSCanxasi
7.2.32	aparihvqwASca
7.2.33	some hvariwaH
